"靶点","药物","组学","工具数","beta","SE","P","OR","OR_lci","OR_uci","sig"
"PCSK9","PCSK9 抑制剂(单抗/ASO)","pQTL",1,0.013437929443264,0.0190159378914114,0.479773648872755,1.01352862421175,0.976448461535342,1.052016888307,"NS"
"HMGCR","他汀类","eQTL",2,-0.0404092000220697,0.0299243894643017,0.176895162287333,0.960396364521176,0.90568745634939,1.01841001608139,"NS"
"CETP","CETP 抑制剂(他塞曲匹)","eQTL",5,0.0423580262549823,0.0276983829459791,0.126200027059485,1.04326792920388,0.988140085522363,1.10147132785325,"NS"
"NPC1L1","依折麦布","eQTL",3,0.0151726233456312,0.0361342558640639,0.67456155442574,1.01528831195458,0.945869642408459,1.08980171280986,"NS"
