"方法","beta","CI_lower","CI_upper","P","OR","OR_lci","OR_uci","sig","label"
"IVW",0.402708143226886,-0.0277694668147867,0.833185753268559,0.0667238449906005,1.49587024808439,0.972612560429753,2.30063633777805,"P≥0.05","IVW (OR=1.50, P=6.7e-02)"
"Egger",1.04049974231816,0.205209017770701,1.87579046686561,0.0146273720090475,2.83063124716744,1.22778166633192,6.52597564954561,"P<0.05","Egger (OR=2.83, P=1.5e-02)"
"WMedian",0.571892776717406,0.336201216390882,0.807584337043931,1.97714725966397e-06,1.77161715563829,1.39962062308927,2.24248435209841,"P<0.05","WMedian (OR=1.77, P=2.0e-06)"
"WMode",NA,NA,NA,NA,NA,NA,NA,NA,"WMode (OR=NA, P=     NA)"
"SimpleMode",NA,NA,NA,NA,NA,NA,NA,NA,"SimpleMode (OR=NA, P=     NA)"
"SimpleMedian",0.419574885086824,0.122135903032827,0.717013867140821,0.00569621872296373,1.52131468457107,1.12990764922264,2.04830755069569,"P<0.05","SimpleMedian (OR=1.52, P=5.7e-03)"
"MaxLik",0.41292494374067,-0.0264077407795122,0.852257628260852,0.0654527746754921,1.51123159428672,0.973937894441643,2.34493487172475,"P≥0.05","MaxLik (OR=1.51, P=6.5e-02)"
"ConMix",0.65061384682938,0.440613846829381,0.80061384682938,9.25668399638281e-05,1.91671703864768,1.55366063551044,2.22690748912162,"P<0.05","ConMix (OR=1.92, P=9.3e-05)"
"cML",0.45508137554586,0.162311332641357,0.747851418450364,0.00231472056920538,1.57630165022224,1.17622638198861,2.1124563524009,"P<0.05","cML (OR=1.58, P=2.3e-03)"
