"trait","method","nsnp","b","se","pval","OR","OR_lci","OR_uci","Q_pval","egger_intercept_p"
"LDL cholesterol","Inverse variance weighted",28,0.402708143226886,0.219635469548025,0.0667238449906005,1.49587024808439,0.972604866829835,2.30065453651029,4.73811359823774e-34,0.0963664989778743
"LDL cholesterol","Weighted median",28,0.571385457328162,0.115852545178568,8.13893823604231e-07,1.77071860784955,1.4110222882015,2.22210833549702,4.73811359823774e-34,0.0963664989778743
"HDL cholesterol","Inverse variance weighted",66,-0.301209340242325,0.0877561061553198,0.000598383101817059,0.739922860901629,0.622998412528204,0.878791709698081,1.25023286608502e-17,0.0308306830779126
"HDL cholesterol","Weighted median",66,-0.412043603503663,0.104802066624226,8.43696596565327e-05,0.662295397022743,0.539314897047938,0.813319259895253,1.25023286608502e-17,0.0308306830779126
"Triglycerides","Inverse variance weighted",69,0.20710641144012,0.0551731182684445,0.000174204598984755,1.23011346296157,1.10402997597104,1.37059605689458,3.70028007203749e-10,0.443442978630617
"Triglycerides","Weighted median",69,0.193476655320324,0.0474670639236583,4.58132734144177e-05,1.21346105836114,1.1056586381551,1.33177428307884,3.70028007203749e-10,0.443442978630617
